model_label,dataset_label,prompt_token_length,max_new_tokens,concurrency,baseline,avg_ttft,avg_tpot,avg_throughput,avg_latency,request_throughput_rps,output_token_throughput_tps
qwen-1_8b,qasper,1024,2,1,CPU-Attention,3.038684368133545,2.315767765045166,0.37352094112618106,5.354452133178711,0.18567821711895485,0.3713564342379097
qwen-1_8b,qasper,1024,2,1,Naive PIM,3.035846471786499,3.1778860092163086,0.3218677350714057,6.213732481002808,0.15997048274135514,0.3199409654827103
qwen-1_8b,qasper,1024,2,1,CloverInfer,3.0344066619873047,2.850226640701294,0.3398682461804767,5.884633302688599,0.16880861111049622,0.33761722222099244
qwen-1_8b,qasper,1024,2,2,PD,1.2715177536010742,2.8401145935058594,0.48642481407834515,4.111632347106934,0.2423804216119707,0.4847608432239414
qwen-1_8b,qasper,1024,2,2,AFD,3.047618865966797,3.8493309020996094,0.28998326321879386,6.896949768066406,0.1443491688909133,0.2886983377818266
qwen-1_8b,qasper,1024,2,2,CPU-Attention,3.037376642227173,2.30379581451416,0.37444962060262826,5.341172456741333,0.18607378999026622,0.37214757998053244
qwen-1_8b,qasper,1024,2,2,Naive PIM,3.048508882522583,3.450366973876953,0.30774553079523304,6.498875856399536,0.15297095363620142,0.30594190727240284
qwen-1_8b,qasper,1024,2,2,CloverInfer,3.0299484729766846,2.854734420776367,0.3398653820621535,5.884682893753052,0.16877722160356035,0.3375544432071207
qwen-1_8b,humaneval,1024,2,1,PD,1.2706246376037598,2.8432087898254395,0.4861645555857696,4.113833427429199,0.24186357311324766,0.4837271462264953
qwen-1_8b,humaneval,1024,2,1,AFD,3.027937412261963,3.9637863636016846,0.2860524906467649,6.9917237758636475,0.14235265616437695,0.2847053123287539
qwen-1_8b,humaneval,1024,2,1,CPU-Attention,3.0450985431671143,2.273437976837158,0.37604329545872767,5.3185365200042725,0.18687070482485327,0.37374140964970654
qwen-1_8b,humaneval,1024,2,1,Naive PIM,3.0312340259552,3.135986089706421,0.3242952193194809,6.167220115661621,0.16124619124811115,0.3224923824962223
qwen-1_8b,humaneval,1024,2,1,CloverInfer,3.034837245941162,2.812978506088257,0.3420080393787924,5.847815752029419,0.16992327997356615,0.3398465599471323
qwen-1_8b,humaneval,1024,2,2,PD,1.2984116077423096,2.826263666152954,0.4848866558436341,4.124675273895264,0.24140466844171227,0.48280933688342453
qwen-1_8b,humaneval,1024,2,2,AFD,3.0281858444213867,3.8943047523498535,0.28891335741688573,6.92249059677124,0.14384055528169684,0.2876811105633937
qwen-1_8b,humaneval,1024,2,2,CPU-Attention,3.0264034271240234,2.1835739612579346,0.38387882535918877,5.209977388381958,0.1909091674592191,0.3818183349184382
qwen-1_8b,humaneval,1024,2,2,Naive PIM,3.0298011302948,3.2150845527648926,0.32026206747472385,6.244885683059692,0.15905706701065606,0.3181141340213121
qwen-1_8b,humaneval,1024,2,2,CloverInfer,3.0290515422821045,2.8433218002319336,0.3405778010605461,5.872373342514038,0.1691896102519375,0.338379220503875
qwen-1_8b,sharegpt,1024,2,1,PD,1.2693538665771484,2.8459560871124268,0.4859901252898103,4.115309953689575,0.24214674957715432,0.48429349915430864
qwen-1_8b,sharegpt,1024,2,1,AFD,3.027991771697998,3.9083166122436523,0.28833781448215734,6.93630838394165,0.1435451346740107,0.2870902693480214
qwen-1_8b,sharegpt,1024,2,1,CPU-Attention,3.0346179008483887,2.2033228874206543,0.38182944039368005,5.237940788269043,0.1898139220728676,0.3796278441457352
qwen-1_8b,sharegpt,1024,2,1,Naive PIM,3.085034132003784,3.183727502822876,0.31904227924201534,6.26876163482666,0.158619191810972,0.317238383621944
qwen-1_8b,sharegpt,1024,2,1,CloverInfer,3.0868077278137207,2.899610996246338,0.3340895604181154,5.986418724060059,0.16573379999387533,0.33146759998775066
qwen-1_8b,sharegpt,1024,2,2,PD,1.2977933883666992,2.820528745651245,0.48563466744859685,4.118322134017944,0.24188824788599572,0.48377649577199144
qwen-1_8b,sharegpt,1024,2,2,AFD,3.0541067123413086,3.9561755657196045,0.2852952164649798,7.010282278060913,0.14195906710342485,0.2839181342068497
