model,dataset,baseline,arrival_rate_rps,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,achieved_request_throughput_rps,achieved_output_throughput_tps,latency_from_arrival_mean_s,latency_internal_mean_s,input_tokens_mean,output_tokens_mean
opt-1.3b,sharegpt,CPU-Attention,0.6,6.402130042417691,6.264244884252548,7.334755355119705,7.390447879983829,5.1459669580826395,5.431075602769852,6.202087983489037,6.219168566740476,0.17022742919683306,2.698104752769804,101.18960787057877,81.36343238353729,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.8,6.580149310483383,6.456399418413639,7.2592802926898,7.3213251915115585,5.487675360303658,5.7481560334563255,6.486445975303649,6.607595549982328,0.17204157397918446,2.7268589475700735,104.02443534135818,86.75502300262451,229.5,15.85
qwen-1.8b,humaneval,AFD,0.1,2.2161119252443315,2.2839007899165154,2.7973972290754325,3.3284570187330247,1.7617499984800815,1.7657757997512817,2.4124875396490095,2.4277148030698297,0.14595751502784526,2.335320240445524,35.457790803909305,28.187999975681304,121.95,16.0
qwen-1.8b,humaneval,AFD,0.15,3.3700634934008122,3.3181710317730904,4.778326566517354,4.93944759592414,2.8288528554141523,2.849021427333355,3.9932387650012973,4.17672523111105,0.16997687325065863,2.719629972010538,53.921015894412996,45.26164568662644,121.95,16.0
qwen-1.8b,humaneval,AFD,0.2,4.3543632186949255,4.698038496077061,5.731045892834663,5.761708030849696,3.878789523243904,4.191413179039955,4.826687914133072,4.919142466783523,0.17399123664600488,2.783859786336078,69.66981149911881,62.060632371902464,121.95,16.0
qwen-1.8b,humaneval,AFD,0.25,5.2352798618376255,5.449401892721653,6.777005772292615,6.830619488656521,4.356681273877621,4.412411615252495,5.436451548337937,5.531553818285465,0.17509443450683,2.80151095210928,83.76447778940201,69.70690038204194,121.95,16.0
qwen-1.8b,humaneval,AFD,0.3,5.787800820171833,5.85905297845602,6.939754213392735,7.010584048181772,4.745667913556099,4.903933003544807,5.8029507249593735,5.820119991153479,0.1737734597986507,2.780375356778411,92.60481312274933,75.93068661689759,121.95,16.0
qwen-1.8b,humaneval,AFD,0.35,6.2720461584627625,6.200461372733116,7.126808473467826,7.231012085825205,5.105813959240914,5.421002276241779,5.920582944154739,6.013721410930157,0.17175616129903307,2.748098580784529,100.3527385354042,81.69302334785462,121.95,16.0
qwen-1.8b,humaneval,AFD,0.4,6.090006573498249,6.027358703315258,6.837960067391395,6.929101810604334,5.027317599207163,5.204707846045494,5.822700746357441,5.86384762749076,0.17934021889713564,2.8694435023541702,97.44010517597198,80.43708158731461,121.95,16.0
qwen-1.8b,humaneval,AFD,0.5,6.277610710263252,6.227514803409576,6.875899927318096,6.948830472677947,5.313075996190309,5.641226641833782,6.054126797616481,6.077778947353363,0.1790392890167641,2.8646286242682257,100.44177136421203,85.00921593904495,121.95,16.0
